“Observation”,”TextUrn”,”Image”,”Comments”
"urn:cite2:opO112.2017a:85v1","urn:cts:greekLit:tlg0012.tlg001:10.38@ὀ","urn:cite2:hmt:e4img.2017a:e4_160@0.2636,0.1349,0.01587,0.01620",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@τ","urn:cite2:hmt:e4img.2017a:e4_160@0.2783,0.1407,0.01438,0.01240",""
"urn:cite2:opO112.2017a:85v3","urn:cts:greekLit:tlg0012.tlg001:10.38@ρ","urn:cite2:hmt:e4img.2017a:e4_160@0.2912,0.1392,0.009425,0.01571",""
"urn:cite2:opO112.2017a:85v4","urn:cts:greekLit:tlg0012.tlg001:10.38@ὐ","urn:cite2:hmt:e4img.2017a:e4_160@0.2999,0.1371,0.01017,0.01554",""
"urn:cite2:opO112.2017a:85v5","urn:cts:greekLit:tlg0012.tlg001:10.38@ν","urn:cite2:hmt:e4img.2017a:e4_160@0.3100,0.1391,0.01017,0.01339",""
"urn:cite2:opO112.2017a:85v6","urn:cts:greekLit:tlg0012.tlg001:10.38@ει","urn:cite2:hmt:e4img.2017a:e4_160@0.3209,0.1362,0.007688,0.01720",""
"urn:cite2:opO112.2017a:85v7","urn:cts:greekLit:tlg0012.tlg001:10.38@σ","urn:cite2:hmt:e4img.2017a:e4_160@0.3289,0.1384,0.007688,0.01521",""
"urn:cite2:opO112.2017a:85v8","urn:cts:greekLit:tlg0012.tlg001:10.38@τρ","urn:cite2:hmt:e4img.2017a:e4_160@0.3331,0.1353,0.01687,0.01488",""
"urn:cite2:opO112.2017a:85v9","urn:cts:greekLit:tlg0012.tlg001:10.38@ω","urn:cite2:hmt:e4img.2017a:e4_160@0.3331,0.1353,0.01687,0.01488",""
"urn:cite2:opO112.2017a:85v10","urn:cts:greekLit:tlg0012.tlg001:10.38@εσσ","urn:cite2:hmt:e4img.2017a:e4_160@0.3628,0.1344,0.01017,0.01538",""
"urn:cite2:opO112.2017a:85v11","urn:cts:greekLit:tlg0012.tlg001:10.38@ιν","urn:cite2:hmt:e4img.2017a:e4_160@0.3740,0.1308,0.01364,0.01901",""
"urn:cite2:opO112.2017a:85v12","urn:cts:greekLit:tlg0012.tlg001:10.38@ἐ","urn:cite2:hmt:e4img.2017a:e4_160@0.3889,0.1321,0.009673,0.01835",""
"urn:cite2:opO112.2017a:85v13","urn:cts:greekLit:tlg0012.tlg001:10.38@π","urn:cite2:hmt:e4img.2017a:e4_160@0.3971,0.1367,0.01513,0.01455",""
"urn:cite2:opO112.2017a:85v14","urn:cts:greekLit:tlg0012.tlg001:10.38@ι","urn:cite2:hmt:e4img.2017a:e4_160@0.4120,0.1318,0.006696,0.02083",""
"urn:cite2:opO112.2017a:85v15","urn:cts:greekLit:tlg0012.tlg001:10.38@σ2","urn:cite2:hmt:e4img.2017a:e4_160@0.4184,0.1371,0.01017,0.01306",""
"urn:cite2:opO112.2017a:85v16","urn:cts:greekLit:tlg0012.tlg001:10.38@κ","urn:cite2:hmt:e4img.2017a:e4_160@0.4288,0.1348,0.01314,0.01604",""
"urn:cite2:opO112.2017a:85v17","urn:cts:greekLit:tlg0012.tlg001:10.38@ο2","urn:cite2:hmt:e4img.2017a:e4_160@0.4380,0.1372,0.01215,0.01356",""
"urn:cite2:opO112.2017a:85v18","urn:cts:greekLit:tlg0012.tlg001:10.38@πον","urn:cite2:hmt:e4img.2017a:e4_160@0.4472,0.1280,0.02307,0.02497",""
"urn:cite2:opO112.2017a:85v19","urn:cts:greekLit:tlg0012.tlg001:10.38@α","urn:cite2:hmt:e4img.2017a:e4_160@0.4702,0.1344,0.01265,0.01455",""
"urn:cite2:opO112.2017a:85v20","urn:cts:greekLit:tlg0012.tlg001:10.38@λ","urn:cite2:hmt:e4img.2017a:e4_160@0.4804,0.1366,0.01166,0.01240",""
"urn:cite2:opO112.2017a:85v21","urn:cts:greekLit:tlg0012.tlg001:10.38@λα","urn:cite2:hmt:e4img.2017a:e4_160@0.4856,0.1339,0.01811,0.01587",""
"urn:cite2:opO112.2017a:85v22","urn:cts:greekLit:tlg0012.tlg001:10.38@μ","urn:cite2:hmt:e4img.2017a:e4_160@0.5022,0.1387,0.01488,0.01174",""
"urn:cite2:opO112.2017a:85v23","urn:cts:greekLit:tlg0012.tlg001:10.38@α2","urn:cite2:hmt:e4img.2017a:e4_160@0.5154,0.1344,0.01339,0.01653",""
"urn:cite2:opO112.2017a:85v24","urn:cts:greekLit:tlg0012.tlg001:10.38@λ2","urn:cite2:hmt:e4img.2017a:e4_160@0.5260,0.1344,0.01414,0.01653",""
"urn:cite2:opO112.2017a:85v25","urn:cts:greekLit:tlg0012.tlg001:10.38@ἀ3","urn:cite2:hmt:e4img.2017a:e4_160@0.5412,0.1341,0.01042,0.01422",""
"urn:cite2:opO112.2017a:85v26","urn:cts:greekLit:tlg0012.tlg001:10.38@ι2","urn:cite2:hmt:e4img.2017a:e4_160@0.5491,0.1386,0.006944,0.01058",""
"urn:cite2:opO112.2017a:85v27","urn:cts:greekLit:tlg0012.tlg001:10.38@ως","urn:cite2:hmt:e4img.2017a:e4_160@0.5543,0.1281,0.02183,0.02133",""
"urn:cite2:opO112.2017a:85v28","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v29","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
